128
100
2000.00 400.00
20.0 571.0 77.0
40.8 465.0 88.0
15.0 616.0 110.0
0.9 243.0 89.0
33.0 105.0 36.0
12.0 379.0 96.0
7.0  238.0 70.0
7.9 402.0 84.0
3.7 570.0 97.0
43.0 411.0 53.0
7.9 521.0 76.0
12.0 399.0 106.0
10.0 360.0 77.0
92.1 430.0 75.0
13.9 290.0 66.0
12.0 522.0 116.0
0.9 454.0 102.0
11.0 319.0 109.0
11.9 555.0 57.0
77.0 150.0 16.0
19.0 427.0 110.0
8.8 365.0 100.0
7.9 450.0 112.0
6.88 410.0 78.0
34.0 410.0 121.0
76.0 615.0 107.0
55.0 531.0 99.0
14.0 412.0 69.0
36.0 32.0 4.0
46.0 500.0 84.0
33.0 493.0 82.0
22.0 508.0 77.0
74.0 443.0 79.0
112.0 56.0 78.0
22.0 347.0 110.0
76.0 470.0 98.0
33.0 435.0 55.0
13.0 339.0 63.0
23.0 409.0 74.0
65.0 488.0 73.0
43.0 428.0 99.0
12.0 459.0 86.0
9.0 558.0 88.0
30.0 67.0 54.0
20.0 464.0 94.0
10.9 501.0 103.0
8.9 494.0 82.0
7.0 490.0 98.0
42.0 51.0 23.0
16.0 518.0 123.0
55.9 377.0 125.0
67.9 702.0 115.0
55.5 403.0 37.0
70.0 376.0 110.0
81.9 407.0 78.0
44.0 379.0 100.0
77.0 235.0 78.0
88.0 527.0 30.0
54.0 76.0 4.0
55.99 521.0 85.0
20.8 396.0 129.0
60.0 293.0 76.0
23.0 487.0 53.0
60.0 303.0 57.0
22.0 447.0 125.0
120 507.0 133.0
45.0 506.0 87.0
34.7 537.0 49.0
43.5 3.0 6.0
16.0 418.0 94.0
50.9 491.0 106.0
33.0 391.0 106.0
40.6 399.0 88.0
80.7 301.0 6.0
45.8 385.0 108.0
220 608.0 115.0
77 516.0 114.0
103 491.0 63.0
170 407.0 76.0
42.0 353.0 90.0
17.9 451.0 85.0
27.8 452.0 78.0
28.8 313.0 66.0
60.9 24.0 5.0
105.5 552.0 116.0
90.0 531.0 108.0
68.2 393.0 81.0
50 485.0 77.0
4.0 39.0 18.0
70.9 551.0 128.0
40.8 475.0 108.0
55.8 694.0 100.0
34.0 280.0 64.0
87.0 591.0 86.0
40.9 577.0 111.0
86.8 634.0 110.0
100.9 198.0 93.0
12.0 528.0 139.0
54.99 529.0 122.0
59.0 370.0 60.0
